pl_name,hostname,starsnum,planetsnum,discoverymethod,disc_year,disc_facility,orbital_period,pl_orbsmax,pl_radius,pl_mass,pl_orbeccen,pl_eqtemp,st_spectype,st_eff_temp,st_radius,st_mass,st_met,st_surface_gravity,sy_distance,sy_vmag,sy_kmag,sy_gaiamag
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,La Silla Observatory,6.6732,0.0662,1.41,2.58,0.14,854,K0 V,5138,0.91,0.87,0.18,4.3,45.23,9.066,7.061,8.854298
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220,8.19,12.7,1995.88832,0.39,,,13500,0.01,0.69,,,305.684,18.6837,,18.6333
DS Tuc A b,DS Tuc A,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.138268,,5.7,413.179,0,850,G6 V,5428,0.96,1.01,0,4.6,44.0622,8.17,6.676,8.31926
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,K2,6.7987,0.0349,1.047,1.15,0,,,3648,0.28,0.29,-0.048,5,134,17.6984,12.619,16.4386
EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,K2,28.1656,,1.87,4.16,,,,3587,0.37,0.41,,4.78,159.259,16.014,11.933,15.2612
EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,K2,2.13174,,0.692,0.26,,,,4991,0.55,0.78,-0.089,4.63,253.026,13.948,11.438,13.7368
EPIC 201615463 c,K2-166,1,2,Transit,2019,K2,3.80464,,1.22,1.98,,,,5942.5,1.6,1.07,-0.051,4.09,476.882,12.081,10.637,11.9456
EPIC 201754305 d,K2-16,1,3,Transit,2019,K2,2.71578,,1.03,1.08,,,K3 V,4761,0.54,0.67,-0.33,4.63,334.967,14.668,12.087,14.3234
EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,K2,2.0478,0.0296,0.908,0.688,0,,,4520,0.66,0.73,-0.003,4.66,577.6,14.974,12.149,
EPIC 201833600 c,K2-50,1,2,Transit,2019,K2,3.96151,,1,0.972,,,,4292.67,0.63,0.61,-0.113,4.74,257.443,14.705,11.664,14.2575
EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,K2,4.1698,0.035,1.04,1.12,,,,5053,0.63,0.8,0,4.59,436.488,14.983,12.454,14.5885
EPIC 205950854 c,K2-168,1,2,Transit,2019,K2,8.050722,,1.31,2.27,,961,,5502.7,0.83,0.88,-0.13,4.39,243.935,12.365,10.549,12.0976
